tag,category,count,alias
closed_mouth,0,979176,"閉口,口を閉じる,へいこう,くちをとじる"
bow,0,952699,"蝶結び,蝶々結び,蝴蝶结,ちょうむすびび,ちょうちょうむすび,こちょう"
cleavage,0,929898,"胸の谷間,魅惑の谷間,けしからん谷間,挟まれたい谷間,乳溝,乳沟,가슴골,谷間,cleavage,むねのたにま,みわくのたにま,けしからんたにま,はさまれたいたにま,ちちみぞ,ちち,たにま"
hat,0,898595,"帽子,裸帽子,ぼうし,はだかぼうし"
bare_shoulders,0,892521,"肩出し,ベアトップ,露肩装,露肩,かただし,つゆかたそう,つゆかた"
original,3,891679,"オリジナル,創作,原創,原创,看板娘,看板息子,自キャラ,オリキャラ,オリジナル艦娘,オリ刀剣,창작,oc,创作,うちの子,うちの娘,オリジナルキャラクター,自作キャラ,Оригинальный,Original,original_character,ออริจินอล,オリジナルフレンズ,オリフレ,原画,オリジナルキャラ,一次創作,創作男女,オリロボ,オリジナルウマ娘,オリソニ,オリメカ,オリジナルイラスト,오리지널,オリキャラ愛の会,ウチの子,自キャラクター,indie_anime,うちのこ,originalcharacter,オリギナル,自创,自創,おりじなる,original,OC,創作男子,my_oc,創作百合,自家孩子,original_art,創作キャラ,創作イラスト,originaldesign,原创插画,オリケモ,oc_artwork,oc_art,ocartwork,ocart,oc_tag,ocs,my_ocs,そうさく,はらそう,はら,かんばんむすめ,かんばんむすこ,じきゃら,おりじなるかんむすめ,おりとうけん,うちのむすめ,じさくきゃら,げんが,いちじそうさく,そうさくだんじょ,おりじなるうまむすめ,おりきゃらあいのかい,じきゃらくたー,じ,じそう,そうさくだんし,そうさくゆり,じかがいし,そうさくきゃら,そうさくいらすと,はらが"
1boy,0,887987,"男の子,男,少年,男の娘,長髪男子,男子,boy,animeboy,おとこのこ,おとこ,しょうねん,おとこのむすめ,ちょうはつだんし,だんし"
jewelry,0,864539,"ジュエリー,宝飾品,アクセサリー,珠宝首饰,珠宝,ほうしょくひん,しゅたからくび,しゅたから"
ribbon,0,864066,"リボン,리본,丝带,絲帶,缎带,紐タイ,いとおび,ひもたい"
very_long_hair,0,836973,"超ロングヘア,超长发,ちょうろんぐへあ,ちょう"
medium_breasts,0,803763,"普通乳,普乳,ふつうちち,ふちち"
sitting,0,789325,"座る,座り,椅子尻,すわる,すわり,いすしり"
2girls,0,766897,
standing,0,752769,"立つ,立ち絵,たつ,たちえ"
jacket,0,729208,"ジャケット,上着,夹克,うわぎ"
nipples,0,726995,"乳首,nipples,nipple,ちくび"
twintails,0,721356,"ツインテール,双马尾,雙馬尾,트윈테일,二つ結い,いいツインテールの日,ツインテ,金髪ツインテール,2つくくり,そう,そうす,ふたつけつい,いいついんてーるのにち,きんぱつついんてーる"
collarbone,0,720127,"鎖骨,빗장뼈,锁骨,さこつ"
white_shirt,0,715876,"白いシャツ,しろいしゃつ"
underwear,0,706551,"下着,肌着,下着艦娘,白下着,胖次,したぎ,はだぎ,したぎかんむすめ,しろしたちゃく,はんつぎ"
purple_eyes,0,685847,"紫目,紫眼,むらさきめ,しがん"
tail,0,678547,"しっぽ,尻尾,もふりたい尻尾,尾巴,もふりたいしっぽ,おともえ"
blue_hair,0,676176,"青髪,青い髪,水色髪,せいはつ,あおいかみ,みずいろかみ"
brown_eyes,0,663616,"茶目,ちゃめ"
green_eyes,0,660136,"翠眼,緑眼,緑目,すいめ,りょくがん,みどりめ"
touhou,3,651387,"東方,東方project,東方プロジェクト,东方,东方project,東方妖時計,동방,東方MMD,東方うごイラ,東方グラマラス,東方ショタ化,東方好きな人RT,東方版もうひとつの深夜の真剣お絵描き60分一本勝負,東方黄金水,東方緊縛画,東方モータリゼーション,東方対魔忍,とうほう,とうほうproject,とうほうぷろじぇくと,project,とうほうようとけい,とうほうMMD,とうほううごいら,とうほうぐらまらす,とうほうしょたか,とうほうすきなにんRT,とうほうはんもうひとつのしんやのしんけんおえかき60ふんいっぽんしょうぶ,とうほうおうごんみず,とうほうきんばくが,とうほうもーたりぜーしょん,とうほうついまにん"
full_body,0,642669,"全身,全身絵,全景镜头,ぜんしん,ぜんしんえ,ぜんけい"
multicolored_hair,0,603947,"多色髪,たしょくかみ"
swimsuit,0,603931,"水着,エロ水着,水着艦娘,泳装,수영복,泳衣,水著,剥ぎ取りたい水着,みずぎ,えろみずぎ,みずぎかんむすめ,えいそう,えいころも,みずちょ,はぎとりたいみずぎ"
upper_body,0,590960,"上半身,中近景镜头,じょうはんしん,なかきんけい"
white_hair,0,588991,"白髪,しらが"
panties,0,581788,"パンティー,パンティ,パンツ,ぱんつ,高品質パンツ,お子様パンツ,剥ぎ取りたいパンツ,嫌パン,こどもぱんつ,女児ぱんつ,こうひんしつぱんつ,おこさまぱんつ,はぎとりたいぱんつ,いやぱん,じょじぱんつ"
grey_hair,0,574323,"白髪,銀髪,銀髪ロング,しらが,ぎんぱつ,ぎんぱつろんぐ"
pink_hair,0,573399,"ピンク髪,ピンク髪ロング,ピンクは淫乱,ぴんくかみ,ぴんくかみろんぐ,ぴんくはいんらん"
yellow_eyes,0,572334,"黄色眼,黄色目,黄眼,金眼,金目,きいろめ,きめ,きんめ,かねめ"
school_uniform,0,566348,"学生服,女子高生,JK,DK,学校制服,制服裸足,せいふく,校服,がくせいふく,じょしこうせい,がっこうせいふく,せいふくはだし,こうふく"
sidelocks,0,545271,"もみあげ,横髪,サイドヘア,边落,耳前侧发,鬓发,よこがみ,みみまえ"
ahoge,0,541349,"アホ毛,呆毛,あほけ,ほうけ"
ass,0,534129,"お尻,尻,尻神様,極上の尻,おしり,ねじ込みたい尻,巨尻,顔を埋めたい尻,魅惑の尻,撫で回したい尻,椅子尻,いいおしりの日,かわいいおしり,爆尻,生尻,プリケツ,撫で回したいお尻,けつね,揉みしだきたい尻,原尻,しり,しりかみさま,ごくじょうのしり,ねじこみたいしり,きょしり,かおをうめたいしり,みわくのしり,なでまわしたいしり,いすしり,いいおしりのにち,ばくしり,なましり,なでまわしたいおしり,もみしだきたいしり,はらじり"
thighs,0,532440,"太もも,ふともも,魅惑のふともも,魅惑の太もも,ふとももの罠,腿,極上のふともも,極上の太もも,撫で回したい太腿,大腿,みわくのふともも,ふともものわな,もも,ごくじょうのふともも,なでまわしたいふともも,だいたい"
purple_hair,0,523624,"紫髪,むらさきかみ"
braid,0,520847,"三つ編み,みつあみ,麻花辫,辫,辫子,みっつあみ,あさはな"
cowboy_shot,0,507095,"中景镜头,ちゅうけい"
closed_eyes,0,498160,"瞑目,闭眼,めいもく"
short_sleeves,0,494991,"半袖,はんそで"
hair_ribbon,0,491768,
heart,0,490146,"♥,ハート,ハート形,爱心,红桃,<3,はーとかたち"
flower,0,480748,"花,はな,フラワー,꽃,以花咏画,花と女の子,いはなえいが,はなとおんなのこ"
ponytail,0,480649,"ポニーテール,ポニテ,黒髪ポニーテール,马尾,포니테일,くろかみぽにーてーる"
hetero,0,469229,"NL,男女カプ,イナゴ男女カプ,ヘテロ,男の娘×女の子,異性愛,だんじょかぷ,いなごだんじょかぷ,おとこのむすめ×おんなのこ,いせいあい"
pantyhose,0,467351,"タイツ,黒タイツ,黒パンスト,白タイツ,ストッキング,パンスト,パンティストッキング,タイツの日,ストッキングの日,连裤袜,裤袜,くろたいつ,くろぱんすと,しろたいつ,たいつのにち,すとっきんぐのにち"
bikini,0,464629,"ビキニ,ビキニ水着,エロビキニ,剥ぎ取りたいビキニ,比基尼,豹柄ビキニ,びきにみずぎ,はぎとりたいびきに,ひもとあま,ひょうがらびきに"
small_breasts,0,464376,"貧乳,微乳,ちっぱい,極上の貧乳,ペチャパイ,small_boobs,smallboobs,small_breasts,smallbreasts,ひんにゅう,びにゅう,ごくじょうのひんにゅう"
earrings,0,458252,"イヤリング,耳飾り,耳飾,みみかざりり,みみかざり"
sweat,0,453578,"汗,汗だく,あせ,あせだく"
outdoors,0,447763,"野外,青姦,野外緊縛,室外,户外,やがい,あおかん,やがいきんばく,しつがい"
weapon,0,442296,"武器,兵器,ぶき,へいき"
:d,0,436700,
nude,0,434082,"裸,ヌード,裸ニーソ,裸手袋,裸体,裸靴下,袖だけ霊夢,袖だけ,全裸群像,裸ランドセル,生まれたままの姿(産まれたままの姿)全裸(ヌード),すっぽんぽん,裸帽子,裸立ち絵,はだか,はだかにーそ,はだかてぶくろ,らたい,はだかくつした,そでだけれいむ,そでだけ,ぜんらぐんぞう,はだからんどせる,うまれたままのすがた(うまれたままのすがた)ぜんら(ぬーど),はだかぼうし,はだかたちえ"
hair_bow,0,428906,
parted_lips,0,426864,
pleated_skirt,0,423601,"プリーツスカート,百褶裙,ひゃくしゅうくん"
frills,0,423188,"フリル,花边,はな"
red_hair,0,413261,"赤髪,紅髪,红发,빨강머리,빨간머리,あかがみ,こうはつ"
censored,0,412658,
open_clothes,0,406119,はだけ
hairband,0,396719,"カチューシャ,ヘアバンド,ヘッドドレス,猫耳カチューシャ,头箍,发箍,ねこみみかちゅーしゃ"
kantai_collection,3,394308,"艦これ,艦隊これくしょん,艦コレ,艦娘,舰队Collection,艦Colle,艦隊Collection,艦隊收藏,kantaicollection,함대_컬렉션,칸코레,私服艦娘,下着艦娘,水着艦娘,艦これ集合絵,シンスイカッコカリ,艦ショタ,艦これ版深夜の真剣お絵描き60分一本勝負,艦これ版真剣お絵描き60分一本勝負,北斗の艦,ア艦これ,かんこれ,かんたいこれくしょん,かんむすめ,Collection,かんColle,かんたいCollection,かんたいしゅうぞう,しふくかんむすめ,したぎかんむすめ,みずぎかんむすめ,かんこれしゅうごうえ,かんしょた,かんこれはんしんやのしんけんおえかき60ふんいっぽんしょうぶ,かんこれはんしんけんおえかき60ふんいっぽんしょうぶ,ほくとのかん,あかんこれ"
lying,0,394069,"寝そべり,寝そべる,横臥,横になる,寝転がる,うつぶせ,うつ伏せ,ねそべり,ねそべる,おうが,よこになる,ねころがる,うつふせ"
horns,0,393426,"角,角娘,角っ子,有角人,角っ娘,かく,かくむすめ,かくっこ,ゆうかくにん,かくっむすめ"
teeth,0,391147,
black_gloves,0,386670,"黒手袋,くろてふくろ"
alternate_costume,0,383478,"衣装チェンジ,私服艦娘,いしょうちぇんじ,しふくかんむすめ"
shorts,0,367026,"半ズボン,短パン,ショートパンツ,はんずぼん,たんぱん"
sleeveless,0,363320,"ノースリーブ,アメリカンスリーブ"
choker,0,360630,"チョーカー,颈圈,ちょーかー"
virtual_youtuber,0,360061,"バーチャルユーチューバー,バーチャルYouTuber,Vtuber,Vチューバー,バーチャルシンガー,バーチャルSinger,バーチャルライバー,VLiver,Vライバー,バーチャルストリーマー,VStreamer,虚拟主播,虛擬主播,虚拟YouTuber,虛擬YouTuber,虚拟UP主,虛擬UP主,VUP,香港vtuber,hkvtuber,台灣vtuber,버츄얼유튜버,버츄얼YouTuber,버튜버,버츄버,버츄얼,KRVTuber,KR_VTuber,Vtuber準備中,新人Vtuber,新人Vチューバー,Vtuberはじめました,おはようVtuber,vtb,VTuver,新人Vtuver,VirtualYouTuber,ENVtuber,VtuberID,PHVtuber,VtuberES,VTuberFR,VTubers,vtuberfanart,vtuberart,vtuber_fanart,vSinger,virtualsinger,virtual_singer,pngtuber,きょばん,しゅばん,きょouTuber,YouTuber,きょPしゅ,UPしゅ,ほんこんvtuber,たいわんvtuber,Vtuberじゅんびちゅう,しんじんVtuber,しんじんVちゅーばー,しんじんVtuver"
penis,0,356232,"ペニス,陰茎,陰莖,阴茎,男根,男性器,肉棒,魔羅,チンコ,ちんこ,おちんちん,黒チンポ,페니스,음경,남근,남성기,자지,좆,雞巴,鸡巴,dick,(∪),いんけい,だんこん,だんせいうつわ,にくぼう,まら,くろちんぽ,けいともえ"
detached_sleeves,0,351688,"袖だけ霊夢,袖だけ,そでだけれいむ,そでだけ"
boots,0,350847,"ブーツ,長靴,裸ブーツ,ながぐつ,はだかぶーつ"
sky,0,350533,"空,天空,そら,てんくう"
collared_shirt,0,344961,
wings,0,341732,"翼,羽,翅,ウィング,翅膀,有翼,有翼人,つばさ,はね,し,しぼう,ゆうよく,ゆうよくにん"
one_eye_closed,0,339935,"ウィンク,ウィンクX東方,うぃんくXとうほう"
pointy_ears,0,334900,"エルフ耳,尖耳朵,とんがり耳,えるふみみ,せんみみ,とんがりみみ"
shoes,0,327693,"靴,くつ,鞋子,신발"
food,0,324823,"食べ物,食品,食物,たべもの,しょくひん"
pussy,0,324777,"おまんこ,女性器,pussy,屄,グロマン,膣,女性生殖器,女阴,まんこ,じょせいうつわ,ちつ,じょせいせいしょくき,おんな"
necktie,0,322632,"ネクタイ,领带"
indoors,0,322574,"部屋,室内,屋内,インテリア,へや,しつない,おくない"
barefoot,0,322560,"裸足,素足,裸足裏,制服裸足,裸足男子,はだし,すあし,はだしうら,せいふくはだし,はだしだんし"
tongue,0,320198,"舌,舌責め,した,したせめ"
medium_hair,0,318181,"セミロング,ミディアムヘアー"
black_thighhighs,0,316516,"黒ニーソックス,黒ニーソ,黒ニーハイ,黒ストッキング,黑丝,くろにーそっくす,くろにーそ,くろにーはい,くろすとっきんぐ,くろ"
solo_focus,0,314253,
green_hair,0,311713,"緑髪,りょくはつ"
artist_name,0,311227,
official_alternate_costume,0,309695,セカコス
monochrome,0,307283,"モノクロ,モノクロ画,单色调,ものくろが"
socks,0,307276,"ソックス,靴下,生靴下,裸靴下,くつした,なまくつした,はだかくつした"
hand_up,0,291973,
japanese_clothes,0,286888,"和服,わふく"
day,0,285985,"昼間,daytime,昼,ひる,ひるま"
pants,0,285685,"ズボン,パンツルック"
puffy_sleeves,0,283318,
hairclip,0,282746,"髪留め,かみとめ"
male_focus,0,280627,"男の子,少年,男性,男子,おとこのこ,しょうねん,だんせい,だんし"
black_skirt,0,277743,
fate_(series),3,274983,"Fate,Fateシリーズ"
halo,0,272639,"天使の輪,天使の輪っか,光环,ヘイロー,へいろー,てんしのわ,てんしのわっか,ひかり"
fang,0,267648,"八重歯,虎牙,犬齿,やえば,とらきば,いぬ"
belt,0,267317,"ベルト,腰带,こし"
blue_archive,3,267247,"ブルアカ,ブルーアーカイブ,ブルアカイラスト部,ブルーアーカイブイラコン,블루아카이브,블루아카,BlueArchive,蔚藍檔案,碧蓝档案,碧藍檔案,BA,ジョジョアーカイブ,蔚蓝档案,ぶるあかいらすとぶ,うつあいたんあん,へきあん,へきあいたんあん,うつあん"
elbow_gloves,0,261614,"長手袋,ロンググローブ,长手套,白長手袋,肘手套,ながてふくろ,とう,しろながてふくろ,ひじしゅとう"
stomach,0,259949,"下腹,お腹,おなか,いいおなかの日,かふく,おはら,いいおなかのにち"
midriff,0,257401,"へそ出し,へそだし,ヘソ出し,腹チラ,腹部,肚子,はらちら,ふくぶ,とこ"
glasses,0,256895,"眼鏡,眼鏡っ娘,メガネ,めがね,眼镜,伊達眼鏡,안경,eyeglasses,spectacles,glasses,めがねっむすめ,め,だてめがね"
white_gloves,0,256496,"白手袋,白手套,白長手袋,しろてぶくろ,しろしゅとう,しろながてふくろ"
bowtie,0,254481,"蝶ネクタイ,ボウタイ,領結,领结,ちょうねくたい,りょうけつ"
blunt_bangs,0,244931,"ぱっつん,パッツン,前髪ぱっつん,齐刘海,まえがみぱっつん,うみ"
tongue_out,0,243263,"舌出し,しただし"
signature,0,239444,"サイン,サイン入り,签名,さいんいり"
looking_back,0,239149,"見返り,振り返り,振り向き,振り向く,見返り美人,回眸,回头看,みかえり,ふりかえり,ふりむき,ふりむく,みかえりびじん,かいぼう,かい"
white_dress,0,238271,"白ワンピ,白ワンピース,しろわんぴ,しろわんぴーす"
sex,0,235573,"セックス,SEX,性交,性行為,キスハメ,中出し,挿入,トイレセックス,せいこう,せいこうい,なかでし,そうにゅう"
hair_flower,0,235005,"頭に花,花飾り,あたまにはな,かしょくり"
comic,0,234453,"漫画,マンガ,漫畫,만화,漫畵,まんが,まん"
greyscale,0,233937,"白黒,しろくろ"
cat_ears,0,233227,"猫耳,ネコミミ,ねこみみ,ネコ耳,ねこ耳,猫耳カチューシャ,ねこみみかちゅーしゃ"
dark_skin,0,233070,"褐色,褐色肌,色黒,かっしょく,かっしょくはだ,いろぐろ"
cloud,0,232981,"雲,くも"
serafuku,0,231466,"セーラー服,水手服,せーらーふく,かこふく"
black_footwear,0,231413,
pink_eyes,0,230370,
on_back,0,229507,"仰向け,仰臥,あおむけ,ぎょうが"
multiple_boys,0,228700,
spread_legs,0,227950,"開脚,M字開脚,エロ蹲踞,V字開脚,张开双腿,かいきゃく,Mじかいきゃく,えろそんきょ,Vじかいきゃく,そうもも"
miniskirt,0,227678,"ミニスカ,ミニスカート,ミニスカ巫女,미니스커트,迷你裙,超短裙,ミニスカポリス,みにすかみこ,めい,ちょうたんくん"
armpits,0,226109,"腋,脇,魅惑の腋,腋巫女,脇の下,腋下,わき,みわくのわき,わきみこ,わきのした,えきか"
off_shoulder,0,225622,オフショルダー
streaked_hair,0,224966,"メッシュ,挑染,ちょうそめ"
hololive,3,224621,"ホロライブ,ホロライブプロダクション,ホロライブゲーマーズ,ホロライブファンタジー,ホログラ,hololive,hololewd"
twitter_username,0,223413,
grey_background,0,223052,
mole,0,222127,"ほくろ,ホクロ,痣,し"
hood,0,218298,"頭巾,후드,帽兜,フード,ずきん,ぼうかぶと"
nail_polish,0,217408,"マニキュア,マニキュア液,指甲油,매니큐어,まにきゅあえき,ゆびかぶとあぶら"
sailor_collar,0,216752,"セーラー襟,セーラーカラー,セーラー水着,水手领,せーらーえり,せーらーみずぎ,かこ"
black_dress,0,216567,"黒ワンピ,くろわんぴ"
fate/grand_order,3,216333,"FGO,FateGO,FateGrandOrder,Fate/GrandOrder,Fate/Grand_Order,Cosmos_in_the_Lostbelt,Fate/GrandOrder(腐),FGO夢,Fate/GO,Fate/GrandOrder(ふ),FGOゆめ"
cum,0,213290,"精液,정액,ザーメン,せいえき"
holding_weapon,0,213194,
wide_sleeves,0,212095,
fingerless_gloves,0,209069,"指抜きグローブ,无指手套,ゆびぬきぐろーぶ,むさしてとう"
two-tone_hair,0,206757,"ツートン,ツートーン,二色髪,にしょくかみ"
genshin_impact,3,206690,"原神,原神project,원신,gnsnプラス,Genshin,Yuanshen,genshinimpactfanart,GenshinImpact,gnsn夢,Genshinfanart,原神同人,gnsn,GenshinImpact5ꓸ0,原尻,genshintwt,はらかみ,はらかみproject,gnsnゆめ,はらかみどうじん,はらじり"
hair_over_one_eye,0,206534,"片目隠れ,片目隠し,かためかくれ,かためかくし"
hair_bun,0,204024,"丸子头,お団子,发髻,お団子ヘアー,おだんご,まるこ,おだんごへあー"
blurry,0,202615,"ぼかし,ぼやけた,模糊,もこ"
from_behind,0,201113,"後ろ姿,うしろすがた"
speech_bubble,0,200528,"ふきだし,말풍선,對話框,たいわかまち"
sword,0,199350,"剣,大刀,刀剣,グレートソード,大剣,女剣士,劍,miekka,espada,pedang,Schwert,miecz,меч,svärd,swaard,つるぎ,たち,とうけん,たいけん,おんなけんし"
rabbit_ears,0,198998,"うさぎ耳,ウサギ耳,うさみみ,うさ耳,兎耳,ウサミミ,ウサ耳,うさぎみみ,とじ"
leotard,0,197356,レオタード
white_thighhighs,0,197211,"白ニーソックス,白ニーソ,白ニーハイ,白ストッキング,白スト,白丝袜,しろにーそっくす,しろにーそ,しろにーはい,しろすとっきんぐ,しろすと,しろ"
looking_at_another,0,196245,
necklace,0,195974,ネックレス
idolmaster,3,193268,"アイドルマスター,idolm@ster,theidolm@ster,im@s,アイマス,アイドルマスタ"
open_jacket,0,192932,
clothes_lift,0,191932,"たくし上げ,たくしあげ"
yuri,0,191126,"百合,ユリ,レズ,社会人百合,レズレイプ,創作百合,オリジナル百合,sapphic,にょたゆり,ウマ娘百合ティーダービー,pkmn百合,백합,lesbian,wlw,ゆり,しゃかいじんゆり,そうさくゆり,おりじなるゆり,うまむすめゆりてぃーだーびー,pkmnゆり"
huge_breasts,0,191099,"爆乳,폭유,爆乳化,hugeboobs,hugebreasts,ばくにゅう,ばくにゅうか"
black_jacket,0,191008,
animal_ear_fluff,0,190173,
bra,0,189330,"ブラジャー,ブラ,デカブラ,브래지어,브라,胸罩,むねとう"
striped_clothes,0,187714,
grin,0,186918,"輝く白い歯,露齿笑,かがやくしろいは,つゆ"
feet,0,185722,"足,足フェチ,あし,あしふぇち"
water,0,185652,"水,물,みず"
orange_hair,0,184646,"オレンジ髪,おれんじかみ"
black_pantyhose,0,184210,"黒スト,黒ストッキング,黑丝,黒タイツ,くろすと,くろすとっきんぐ,くろ,くろたいつ"
from_side,0,183476,"たかみよこがお,よこがおフレンズ"
mosaic_censoring,0,183362,"马赛克,かつ"
english_text,0,182490,"英語,えいご"
kimono,0,181963,"👘,着物,和服,きもの,わふく"
pokemon,3,181506,"ポケモン,ポケモン擬人化,ポケモン人間絵,pkmn腐,ポケ擬,Pokemon,포켓몬,포켓몬스터,ポケモントレーナー版深夜の真剣お絵描き60分一本勝負,ポケモン×人間,ポケットモンスター,ポケモントレーナー,pocketmonsters,精灵宝可梦,ポケモン機械化,ポケモンイラスト,Pokémon,宝可梦,pkg版深夜の真剣お絵描き60分一本勝負,pokemonfanart,pkmn,ポケモンFA,星座タロット風ポケモン,ポケモンと生活,宝可梦图鉴,アニポケ,pkmn夢,pkmn百合,ぽけもんぎじんか,ぽけもんにんげんえ,pkmnふ,ぽけぎ,ぽけもんとれーなーはんしんやのしんけんおえかき60ふんいっぽんしょうぶ,ぽけもん×にんげん,せいかゆめ,ぽけもんきかいか,たからかゆめ,pkgはんしんやのしんけんおえかき60ふんいっぽんしょうぶ,せいざたろっとかぜぽけもん,ぽけもんとせいかつ,pkmnゆめ,pkmnゆり"
star_(symbol),0,179335,"星形,星型,星,星星,ほしがた,ほし,ほしぼし"
red_bow,0,179204,
high_heels,0,177977,"ハイヒール,高跟,高跟鞋,たかこん,たかこんわらじ"
arm_up,0,177937,
vaginal,0,177417,"膣の,阴道性行为,ちつの,せいこう"
crop_top,0,175849,"ハーフトップ,露腹短上衣,短款上衣,つゆはらたんうわぎ,たんかんうわぎ"
bag,0,175196,"鞄,かばん,カバン"
tears,0,175161,"涙,なみだ"
white_panties,0,173369,"白パンツ,白パン,白いパンツ,しろぱんつ,しろぱん,しろいぱんつ"
completely_nude,0,172247,"生まれたままの姿(産まれたままの姿)全裸(ヌード),すっぽんぽん,裸帽子,全裸,完全裸,髪飾り以外完全裸,うまれたままのすがた(うまれたままのすがた)ぜんら(ぬーど),はだかぼうし,ぜんら,かんぜんはだか,かみかざりいがいかんぜんはだか"
sweatdrop,0,170957,"汗マーク,汗滴,あせまーく,あせしずく"
coat,0,169134,"コート,外套,がいとう"
blue_sky,0,168972,"青空,蒼空,青い空,蒼天,蒼穹,碧空,蓝天,あおぞら,そうくう,あおいそら,そうてん,そうきゅう,へきくう"
3girls,0,167209,
apron,0,167060,"エプロン,えぷろん,围裙"
black_shirt,0,166731,"黒シャツ,くろしゃつ"
arms_up,0,166635,"脇見せのポーズ,わきみせのぽーず"
collar,0,165642,"首輪,项圈,くびわ"
